                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2823,                 2.5008,                 1.4376,                0.53119,                 0.3143,                 0.3064,                0.19667,                 1.2332,                 1.5612,                 1.3674,              0.0033318,              0.0033318,              0.0033318
                      2,                 1.2271,                 1.7678,                   1.36,                0.62818,                  0.318,                0.33136,                0.21283,                 1.2592,                 1.4811,                 1.3759,              0.0064452,              0.0064452,              0.0064452
                      3,                 1.2752,                 1.8136,                 1.3928,                0.64533,                0.28149,                0.31376,                0.19813,                 1.3084,                 1.5506,                 1.4382,              0.0093385,              0.0093385,              0.0093385
                      4,                 1.2978,                  1.825,                 1.4128,                0.71139,                0.32001,                0.35725,                 0.2268,                 1.2665,                 1.3798,                 1.4001,                0.00901,                0.00901,                0.00901
                      5,                 1.2565,                 1.6506,                 1.3907,                0.60094,                0.36838,                0.39518,                0.25937,                 1.2176,                 1.2118,                 1.3698,                0.00868,                0.00868,                0.00868
                      6,                 1.2244,                 1.5276,                   1.37,                0.64415,                0.38919,                0.42319,                0.28099,                 1.1877,                 1.1083,                 1.3275,                0.00835,                0.00835,                0.00835
                      7,                 1.2009,                 1.4278,                 1.3499,                0.72365,                0.39932,                0.44645,                0.30007,                  1.159,                 1.0218,                 1.3029,                0.00802,                0.00802,                0.00802
                      8,                 1.1821,                 1.3518,                 1.3327,                0.71817,                0.43228,                0.46962,                0.31785,                 1.1322,                0.95647,                 1.2886,                0.00769,                0.00769,                0.00769
                      9,                 1.1678,                 1.3001,                 1.3225,                0.69734,                0.42594,                0.47801,                0.32683,                 1.1146,                0.91476,                 1.2675,                0.00736,                0.00736,                0.00736
                     10,                 1.1465,                 1.2369,                 1.3092,                0.75051,                0.44753,                0.49368,                 0.3406,                 1.0985,                0.87137,                 1.2602,                0.00703,                0.00703,                0.00703
                     11,                 1.1298,                 1.1972,                 1.2997,                0.64299,                0.45886,                0.50145,                0.34919,                 1.0777,                0.83569,                 1.2393,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.1183,                 1.1569,                 1.2875,                 0.6629,                 0.4689,                0.50909,                0.35875,                 1.0583,                0.80105,                 1.2212,                0.00637,                0.00637,                0.00637
                     13,                 1.1003,                 1.1154,                 1.2794,                 0.7305,                0.47944,                0.52571,                0.37173,                 1.0466,                0.77719,                 1.2165,                0.00604,                0.00604,                0.00604
                     14,                 1.0881,                 1.0909,                 1.2713,                 0.7371,                0.48108,                0.52979,                0.37699,                 1.0272,                0.75695,                 1.2019,                0.00571,                0.00571,                0.00571
                     15,                 1.0761,                 1.0565,                 1.2608,                0.67975,                0.48916,                0.53135,                0.38012,                 1.0128,                0.73194,                 1.1899,                0.00538,                0.00538,                0.00538
                     16,                  1.062,                 1.0215,                 1.2532,                0.64115,                0.49857,                0.53761,                0.38823,                 1.0012,                0.71642,                 1.1808,                0.00505,                0.00505,                0.00505
                     17,                 1.0499,                0.99809,                 1.2414,                0.62871,                0.50363,                0.54063,                0.39198,                0.98581,                0.69931,                 1.1608,                0.00472,                0.00472,                0.00472
                     18,                 1.0308,                0.96157,                 1.2291,                0.69196,                0.50322,                0.54517,                0.39786,                0.97282,                0.68472,                 1.1434,                0.00439,                0.00439,                0.00439
                     19,                 1.0195,                0.93765,                 1.2197,                0.66648,                0.51278,                0.54815,                0.40228,                0.96174,                0.67387,                 1.1338,                0.00406,                0.00406,                0.00406
                     20,                 1.0044,                 0.9098,                 1.2141,                0.64673,                0.51709,                0.54932,                0.40497,                   0.95,                0.66246,                 1.1328,                0.00373,                0.00373,                0.00373
                     21,                 1.0156,                0.84795,                 1.2202,                0.66796,                0.51549,                0.55407,                0.41092,                 0.9395,                0.65299,                 1.1199,                 0.0034,                 0.0034,                 0.0034
                     22,                0.99717,                0.81756,                 1.2091,                0.62571,                0.53001,                0.55742,                0.41428,                0.93033,                 0.6441,                  1.111,                0.00307,                0.00307,                0.00307
                     23,                0.97913,                0.78687,                 1.2014,                0.66055,                0.52735,                0.55742,                0.41558,                0.92253,                 0.6379,                 1.1073,                0.00274,                0.00274,                0.00274
                     24,                 0.9615,                0.75696,                 1.1813,                0.64049,                0.52205,                0.55779,                0.41768,                0.91496,                0.63193,                 1.0984,                0.00241,                0.00241,                0.00241
                     25,                 0.9463,                0.73013,                 1.1698,                0.64966,                0.52506,                0.55775,                0.41917,                0.90809,                0.62619,                 1.0906,                0.00208,                0.00208,                0.00208
                     26,                0.92617,                0.70335,                 1.1633,                0.64518,                0.52516,                0.55801,                0.42073,                0.90149,                0.62139,                 1.0869,                0.00175,                0.00175,                0.00175
                     27,                0.91073,                0.68017,                 1.1523,                0.64064,                0.52958,                 0.5585,                0.42226,                0.89641,                0.61787,                 1.0842,                0.00142,                0.00142,                0.00142
                     28,                0.89603,                0.66181,                 1.1407,                0.62923,                0.53826,                 0.5598,                0.42398,                0.89176,                0.61521,                 1.0811,                0.00109,                0.00109,                0.00109
                     29,                0.87902,                0.63678,                 1.1339,                0.62222,                0.54209,                0.55984,                0.42504,                0.88755,                0.61281,                 1.0786,                0.00076,                0.00076,                0.00076
                     30,                0.86708,                0.62115,                 1.1271,                0.62453,                0.54338,                0.56035,                0.42547,                0.88435,                0.61097,                  1.077,                0.00043,                0.00043,                0.00043
