                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3451,                 2.4239,                 1.5936,                0.67651,                0.52133,                0.60997,                0.37385,                 1.3527,                 1.5515,                   1.58,              9.519e-05,              9.519e-05,              9.519e-05
                      2,                  1.313,                 1.7657,                 1.5611,                0.53794,                0.59436,                0.58868,                   0.36,                 1.3352,                  1.602,                 1.5894,             0.00018424,             0.00018424,             0.00018424
                      3,                 1.2977,                 1.6684,                 1.5677,                 0.5945,                0.62201,                 0.6193,                0.36881,                 1.4163,                 1.4872,                 1.6263,             0.00026699,             0.00026699,             0.00026699
                      4,                 1.2807,                 1.5629,                 1.5446,                0.66379,                0.58199,                0.65321,                0.41408,                 1.2375,                 1.3452,                 1.5326,             0.00025769,             0.00025769,             0.00025769
                      5,                 1.2333,                 1.4268,                 1.5122,                0.70368,                 0.6358,                0.70259,                0.45079,                 1.2721,                 1.2259,                  1.564,             0.00024825,             0.00024825,             0.00024825
                      6,                    1.2,                 1.3392,                 1.4895,                0.71791,                0.72136,                0.75951,                 0.5075,                 1.1627,                 1.0697,                 1.4636,             0.00023881,             0.00023881,             0.00023881
                      7,                 1.1756,                  1.247,                  1.471,                0.79047,                0.71626,                0.80422,                0.52853,                   1.22,                0.97771,                 1.4977,             0.00022937,             0.00022937,             0.00022937
                      8,                 1.1502,                 1.1804,                 1.4514,                 0.7531,                0.71227,                0.77512,                0.53507,                 1.1248,                  1.033,                 1.4387,             0.00021993,             0.00021993,             0.00021993
                      9,                 1.1346,                  1.128,                 1.4356,                0.76889,                0.73614,                 0.8082,                0.55115,                 1.1354,                0.93513,                 1.4277,              0.0002105,              0.0002105,              0.0002105
                     10,                  1.113,                 1.0692,                 1.4205,                0.77483,                0.72308,                0.80217,                0.55914,                 1.1144,                0.92726,                 1.4082,             0.00020106,             0.00020106,             0.00020106
                     11,                 1.0933,                 1.0231,                 1.3984,                0.79438,                0.72531,                0.79752,                0.55151,                 1.0962,                0.90861,                 1.4036,             0.00019162,             0.00019162,             0.00019162
                     12,                 1.0776,                0.99944,                  1.401,                0.76121,                0.74565,                0.79766,                0.55557,                 1.0981,                0.91599,                 1.3911,             0.00018218,             0.00018218,             0.00018218
                     13,                 1.0601,                0.96379,                 1.3796,                0.79907,                0.75986,                0.82746,                0.58018,                 1.0908,                0.85958,                 1.3959,             0.00017274,             0.00017274,             0.00017274
                     14,                 1.0429,                0.92824,                 1.3659,                0.79386,                0.70533,                0.78936,                0.54807,                 1.1141,                0.94156,                 1.4135,             0.00016331,             0.00016331,             0.00016331
                     15,                 1.0382,                0.90094,                 1.3633,                0.78727,                0.77341,                0.83578,                0.59265,                 1.0647,                 0.8105,                 1.3677,             0.00015387,             0.00015387,             0.00015387
