trial,precision,lr0,momentum,weight_decay,optimizer
trial_7,0.88857,0.005472400163219377,0.9094663095208971,0.00670330765455878,Adam
trial_12,0.83795,7.281609266170836e-05,0.7580505796735026,0.00031535001541634685,AdamW
trial_16,0.83462,0.00011891503112304157,0.8896339737968176,0.005796244879140798,AdamW
trial_15,0.83034,2.326711495816926e-05,0.830247289867555,0.007575519395066934,Adam
trial_13,0.82271,5.192742897508555e-05,0.7032662326090819,0.004078057223050957,AdamW
