trial,mAP50,lr0,momentum,weight_decay,optimizer
0,0.0,1.7543133032407303e-05,0.7668516481603928,0.007655911389320438,Adam
11,0.0,1.3408929510711225e-05,0.8612253126690682,0.002334594667676526,AdamW
19,0.0,3.610123988036044e-05,0.7911907154540141,0.0017366368782039518,SGD
18,0.0,2.749558632993549e-05,0.9615210965258688,0.009977392670057494,AdamW
17,0.0,0.0003726802252940524,0.7317033648244379,0.0028964969041489043,Adam
