                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4089,                 2.7396,                  1.639,                0.49103,                0.57201,                 0.5538,                 0.3276,                 1.3842,                 1.6196,                 1.5691,              9.519e-05,              9.519e-05,              9.519e-05
                      2,                 1.3281,                 1.8322,                 1.5305,                 0.6331,                0.59229,                0.63988,                0.38526,                 1.3291,                 1.4411,                 1.5569,             0.00018424,             0.00018424,             0.00018424
                      3,                 1.3117,                 1.6859,                 1.5317,                  0.595,                0.58457,                0.60783,                 0.3356,                  1.558,                 1.5098,                  1.713,             0.00026699,             0.00026699,             0.00026699
                      4,                 1.2886,                 1.5728,                  1.507,                0.64425,                0.63848,                0.67604,                0.42827,                 1.2717,                 1.3629,                 1.5265,             0.00025769,             0.00025769,             0.00025769
                      5,                 1.2474,                 1.4568,                  1.485,                 0.6764,                0.65674,                0.71913,                0.46019,                 1.2619,                  1.241,                 1.5002,             0.00024825,             0.00024825,             0.00024825
                      6,                 1.2201,                 1.3722,                 1.4623,                0.73304,                0.67143,                0.73421,                0.47687,                 1.2549,                 1.1326,                 1.4858,             0.00023881,             0.00023881,             0.00023881
                      7,                 1.1963,                 1.2878,                 1.4443,                0.69483,                0.72503,                0.75366,                0.49111,                 1.2355,                 1.0734,                 1.4647,             0.00022937,             0.00022937,             0.00022937
                      8,                 1.1797,                 1.2335,                 1.4303,                0.71479,                0.67389,                0.72817,                0.48577,                 1.1828,                 1.1539,                 1.4342,             0.00021993,             0.00021993,             0.00021993
                      9,                 1.1581,                 1.1884,                 1.4143,                0.76275,                0.72329,                0.77993,                0.52006,                  1.178,                 1.0048,                 1.4209,              0.0002105,              0.0002105,              0.0002105
                     10,                 1.1413,                 1.1315,                    1.4,                0.75072,                0.75064,                0.80301,                0.54039,                 1.1576,                0.97482,                 1.4163,             0.00020106,             0.00020106,             0.00020106
                     11,                 1.1237,                 1.0892,                 1.3854,                0.76518,                0.70151,                0.78678,                0.53242,                 1.1669,                 1.0028,                 1.4129,             0.00019162,             0.00019162,             0.00019162
                     12,                  1.115,                 1.0625,                 1.3828,                0.75782,                0.73965,                0.79126,                0.53726,                 1.1425,                0.95885,                 1.3963,             0.00018218,             0.00018218,             0.00018218
                     13,                 1.0996,                 1.0237,                 1.3675,                0.79465,                0.70335,                0.79985,                0.55084,                 1.1427,                0.95764,                 1.3876,             0.00017274,             0.00017274,             0.00017274
                     14,                 1.0843,                 1.0022,                 1.3592,                0.79412,                0.74423,                0.81249,                0.55155,                 1.1613,                0.91988,                 1.4059,             0.00016331,             0.00016331,             0.00016331
                     15,                 1.0805,                0.97338,                 1.3567,                0.74849,                0.75189,                0.80533,                0.55489,                  1.117,                0.93365,                 1.3682,             0.00015387,             0.00015387,             0.00015387
