                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3655,                 2.7517,                 1.4433,                0.45025,                0.26502,                 0.2472,                0.15445,                 1.3326,                 1.8257,                 1.3378,              0.0033318,              0.0033318,              0.0033318
                      2,                 1.3101,                  2.019,                 1.3683,                0.61006,                0.28154,                0.29012,                0.18107,                 1.3383,                 1.6621,                 1.3488,              0.0064452,              0.0064452,              0.0064452
                      3,                 1.3531,                 2.0204,                   1.39,                0.62569,                0.25397,                0.26993,                0.16592,                 1.3939,                 1.7342,                 1.4032,              0.0093385,              0.0093385,              0.0093385
                      4,                 1.3713,                 2.0077,                 1.4068,                0.69122,                0.27774,                 0.3003,                0.18635,                 1.3486,                 1.5935,                 1.3607,                0.00901,                0.00901,                0.00901
                      5,                 1.3333,                 1.8503,                 1.3832,                0.59278,                0.32499,                0.34585,                0.21875,                 1.2969,                 1.4299,                 1.3387,                0.00868,                0.00868,                0.00868
                      6,                 1.3037,                 1.7332,                 1.3661,                0.65446,                0.34519,                0.38528,                0.24767,                 1.2667,                  1.278,                  1.305,                0.00835,                0.00835,                0.00835
                      7,                  1.283,                 1.6486,                 1.3507,                 0.7595,                0.35991,                0.40763,                0.26526,                 1.2413,                 1.2092,                 1.2791,                0.00802,                0.00802,                0.00802
                      8,                 1.2668,                 1.5695,                 1.3349,                  0.726,                0.38301,                0.42541,                0.27955,                 1.2151,                 1.1382,                 1.2584,                0.00769,                0.00769,                0.00769
                      9,                 1.2542,                 1.5159,                 1.3236,                0.77048,                0.37916,                0.43062,                0.28518,                 1.2005,                   1.09,                 1.2433,                0.00736,                0.00736,                0.00736
                     10,                 1.2337,                 1.4495,                   1.31,                0.75693,                0.39936,                0.44887,                0.29917,                  1.183,                 1.0353,                 1.2208,                0.00703,                0.00703,                0.00703
                     11,                 1.2202,                 1.4153,                 1.3035,                 0.6897,                0.41275,                0.45787,                0.30825,                 1.1664,                 1.0068,                 1.2169,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.2122,                 1.3743,                 1.2959,                0.71415,                 0.4121,                0.46507,                 0.3158,                 1.1533,                0.96886,                 1.2079,                0.00637,                0.00637,                0.00637
                     13,                  1.196,                 1.3375,                 1.2873,                0.69995,                0.43124,                0.47537,                0.32421,                 1.1394,                 0.9446,                 1.1918,                0.00604,                0.00604,                0.00604
                     14,                 1.1895,                 1.3073,                 1.2801,                0.69947,                0.43612,                0.48392,                0.33109,                   1.13,                0.92141,                 1.1834,                0.00571,                0.00571,                0.00571
                     15,                 1.1803,                 1.2748,                 1.2722,                0.70887,                0.43711,                0.48649,                0.33463,                 1.1192,                0.89779,                 1.1717,                0.00538,                0.00538,                0.00538
                     16,                 1.1691,                 1.2441,                 1.2679,                0.65738,                0.46078,                0.49696,                0.34337,                 1.1103,                0.88054,                  1.166,                0.00505,                0.00505,                0.00505
                     17,                 1.1592,                 1.2197,                  1.259,                0.70984,                0.44694,                0.49955,                0.34705,                 1.1005,                0.86068,                  1.156,                0.00472,                0.00472,                0.00472
                     18,                 1.1436,                 1.1837,                  1.251,                 0.6742,                0.46159,                0.50572,                0.35269,                 1.0913,                0.84698,                 1.1475,                0.00439,                0.00439,                0.00439
                     19,                 1.1351,                 1.1618,                 1.2436,                0.63659,                0.47658,                0.50959,                0.35644,                 1.0845,                0.83289,                 1.1414,                0.00406,                0.00406,                0.00406
                     20,                 1.1238,                  1.134,                 1.2377,                0.65634,                0.47208,                0.51258,                0.35951,                 1.0759,                0.82172,                 1.1356,                0.00373,                0.00373,                0.00373
                     21,                 1.1547,                 1.0802,                 1.2581,                0.67348,                0.46965,                0.51209,                0.36106,                 1.0665,                0.81394,                 1.1265,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.1378,                  1.045,                 1.2477,                0.68412,                0.47048,                0.51575,                0.36457,                 1.0593,                0.80321,                 1.1213,                0.00307,                0.00307,                0.00307
                     23,                 1.1213,                 1.0131,                 1.2386,                0.70437,                0.47588,                0.51881,                0.36797,                 1.0532,                0.79453,                 1.1167,                0.00274,                0.00274,                0.00274
                     24,                 1.1097,                0.98169,                 1.2261,                 0.6825,                0.47981,                0.52124,                0.37034,                 1.0477,                0.78724,                 1.1116,                0.00241,                0.00241,                0.00241
                     25,                 1.0961,                0.95342,                 1.2195,                0.65963,                0.48223,                0.52314,                0.37273,                 1.0415,                0.78012,                 1.1062,                0.00208,                0.00208,                0.00208
                     26,                 1.0819,                0.92741,                 1.2091,                0.65185,                0.48678,                0.52417,                0.37426,                  1.036,                0.77499,                 1.1009,                0.00175,                0.00175,                0.00175
                     27,                 1.0686,                0.90056,                 1.2011,                 0.6566,                0.48737,                0.52569,                0.37646,                 1.0316,                0.77066,                 1.0974,                0.00142,                0.00142,                0.00142
                     28,                 1.0578,                0.88115,                 1.1926,                0.65665,                0.48773,                0.52682,                0.37766,                 1.0279,                 0.7666,                 1.0942,                0.00109,                0.00109,                0.00109
                     29,                 1.0435,                0.85327,                 1.1831,                0.65529,                0.48905,                0.52768,                0.37852,                 1.0248,                0.76379,                 1.0911,                0.00076,                0.00076,                0.00076
                     30,                 1.0342,                0.83703,                 1.1771,                0.64991,                0.49084,                0.52833,                0.37922,                 1.0221,                 0.7615,                 1.0886,                0.00043,                0.00043,                0.00043
