                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3488,                 2.7647,                 1.4406,                0.51934,                0.28042,                0.26082,                0.16428,                 1.3085,                 1.7836,                 1.3286,              0.0033318,              0.0033318,              0.0033318
                      2,                 1.2812,                 1.9279,                 1.3593,                0.57134,                0.29725,                0.29576,                0.18633,                 1.3063,                 1.6103,                 1.3568,              0.0064452,              0.0064452,              0.0064452
                      3,                 1.3212,                 1.9242,                 1.3847,                0.58423,                0.27066,                0.28831,                0.17834,                 1.3475,                 1.6757,                 1.3796,              0.0093385,              0.0093385,              0.0093385
                      4,                 1.3367,                 1.9164,                 1.4007,                0.72617,                0.29683,                0.33145,                0.20921,                 1.3064,                 1.4665,                 1.3622,                0.00901,                0.00901,                0.00901
                      5,                 1.2999,                 1.7544,                 1.3778,                 0.5922,                0.34273,                0.36937,                0.23504,                 1.2766,                 1.3278,                 1.3271,                0.00868,                0.00868,                0.00868
                      6,                 1.2704,                 1.6373,                 1.3578,                0.67218,                0.36035,                0.39962,                0.26082,                 1.2334,                 1.1947,                 1.2884,                0.00835,                0.00835,                0.00835
                      7,                 1.2492,                 1.5472,                 1.3433,                0.74575,                0.37534,                0.42652,                0.28033,                 1.2079,                 1.1366,                 1.2811,                0.00802,                0.00802,                0.00802
                      8,                 1.2321,                 1.4756,                  1.329,                0.74254,                0.40444,                0.44663,                0.29577,                  1.181,                 1.0526,                 1.2598,                0.00769,                0.00769,                0.00769
                      9,                 1.2196,                 1.4197,                 1.3161,                0.73603,                 0.4035,                0.45421,                0.30348,                 1.1662,                  1.014,                 1.2469,                0.00736,                0.00736,                0.00736
                     10,                 1.2003,                  1.359,                 1.3051,                0.76271,                0.41351,                0.46979,                0.31718,                 1.1509,                0.96227,                 1.2232,                0.00703,                0.00703,                0.00703
                     11,                 1.1871,                 1.3235,                 1.2959,                0.70235,                0.42795,                0.47591,                0.32427,                 1.1311,                0.92997,                 1.2131,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.1767,                 1.2867,                 1.2894,                0.73097,                0.43188,                0.48491,                0.33289,                  1.118,                 0.8965,                 1.2064,                0.00637,                0.00637,                0.00637
                     13,                 1.1615,                 1.2461,                 1.2812,                 0.7389,                0.44892,                0.49292,                0.34033,                  1.109,                0.87479,                 1.1911,                0.00604,                0.00604,                0.00604
                     14,                 1.1545,                 1.2185,                 1.2723,                0.74539,                0.44402,                0.49875,                 0.3459,                 1.0951,                0.85146,                 1.1817,                0.00571,                0.00571,                0.00571
                     15,                 1.1444,                 1.1821,                 1.2649,                0.69706,                0.45951,                0.50095,                0.35017,                 1.0815,                0.83118,                 1.1725,                0.00538,                0.00538,                0.00538
                     16,                 1.1327,                 1.1552,                 1.2578,                0.66439,                0.47259,                0.51104,                0.35846,                 1.0695,                0.81386,                 1.1634,                0.00505,                0.00505,                0.00505
                     17,                 1.1223,                 1.1286,                 1.2483,                0.72075,                0.46649,                0.51461,                0.36285,                 1.0603,                0.79619,                 1.1505,                0.00472,                0.00472,                0.00472
                     18,                 1.1052,                 1.0956,                 1.2407,                0.66259,                0.48492,                 0.5189,                0.36668,                 1.0523,                0.78372,                 1.1431,                0.00439,                0.00439,                0.00439
                     19,                 1.0977,                 1.0756,                 1.2345,                0.66038,                0.48653,                0.51983,                0.36963,                 1.0435,                0.77422,                 1.1411,                0.00406,                0.00406,                0.00406
                     20,                 1.0849,                 1.0461,                 1.2274,                 0.6514,                0.48362,                0.52255,                0.37261,                 1.0344,                0.76323,                 1.1354,                0.00373,                0.00373,                0.00373
                     21,                 1.1076,                0.99066,                 1.2459,                0.68068,                0.48254,                  0.527,                0.37865,                 1.0259,                0.75415,                  1.127,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.0918,                0.95754,                 1.2352,                0.67958,                0.49381,                 0.5307,                0.38192,                  1.019,                0.74555,                 1.1196,                0.00307,                0.00307,                0.00307
                     23,                 1.0749,                0.92077,                 1.2251,                0.69233,                0.49061,                0.53331,                0.38476,                 1.0117,                0.73831,                  1.113,                0.00274,                0.00274,                0.00274
                     24,                  1.061,                0.89147,                 1.2122,                0.69284,                 0.4919,                0.53632,                0.38834,                 1.0042,                0.72997,                 1.1068,                0.00241,                0.00241,                0.00241
                     25,                 1.0491,                0.86584,                 1.2063,                0.68395,                0.49574,                0.53656,                0.38922,                0.99858,                0.72435,                  1.103,                0.00208,                0.00208,                0.00208
                     26,                 1.0318,                0.84237,                 1.1951,                0.66637,                0.49886,                0.53783,                0.39106,                0.99322,                0.71925,                 1.0987,                0.00175,                0.00175,                0.00175
                     27,                 1.0181,                0.81565,                 1.1829,                0.66535,                0.50313,                0.53832,                0.39217,                0.98888,                0.71515,                 1.0942,                0.00142,                0.00142,                0.00142
                     28,                 1.0067,                 0.7958,                 1.1762,                 0.6611,                0.50612,                0.54022,                0.39398,                0.98525,                0.71184,                  1.091,                0.00109,                0.00109,                0.00109
                     29,                0.99127,                0.77033,                 1.1678,                0.63589,                0.50739,                0.54074,                0.39455,                0.98237,                0.70918,                 1.0881,                0.00076,                0.00076,                0.00076
                     30,                0.98182,                0.75538,                 1.1614,                0.63649,                0.50957,                0.54112,                0.39539,                0.98011,                0.70714,                 1.0859,                0.00043,                0.00043,                0.00043
