epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,108157,0.90849,0.74073,1.15937,0.89967,0.79258,0.86324,0.68216,0.8548,0.51967,1.06487,0.005842,0.005842,0.005842
44,108817,0.90446,0.73802,1.15853,0.90369,0.79016,0.86353,0.68328,0.85229,0.51777,1.06272,0.005743,0.005743,0.005743
45,112995,0.90125,0.73639,1.15689,0.90219,0.79254,0.86383,0.68435,0.85013,0.51579,1.06081,0.005644,0.005644,0.005644
46,115941,0.89579,0.7285,1.15081,0.90169,0.79364,0.86427,0.68539,0.84775,0.51409,1.05845,0.005545,0.005545,0.005545
47,117040,0.89525,0.72511,1.15375,0.90307,0.79412,0.86479,0.68662,0.84529,0.51238,1.05652,0.005446,0.005446,0.005446
48,118455,0.88832,0.71384,1.14466,0.90417,0.79424,0.86525,0.68796,0.84307,0.51059,1.05408,0.005347,0.005347,0.005347
49,121701,0.88618,0.70963,1.13762,0.90504,0.79447,0.86556,0.68905,0.84069,0.50874,1.05123,0.005248,0.005248,0.005248
50,123719,0.88126,0.70465,1.1387,0.90348,0.79651,0.86613,0.69014,0.83829,0.50679,1.04884,0.005149,0.005149,0.005149
51,127059,0.87962,0.70154,1.14192,0.90399,0.7969,0.86653,0.69134,0.8358,0.50481,1.04714,0.00505,0.00505,0.00505
52,128085,0.87047,0.69125,1.13461,0.90234,0.79912,0.86696,0.69249,0.8333,0.50303,1.04504,0.004951,0.004951,0.004951
53,132870,0.87132,0.69195,1.1326,0.9037,0.79872,0.86716,0.6937,0.83081,0.50125,1.04262,0.004852,0.004852,0.004852
54,134743,0.85768,0.68317,1.12529,0.90667,0.7981,0.8675,0.69478,0.82819,0.49952,1.03977,0.004753,0.004753,0.004753
55,135781,0.86163,0.67902,1.12707,0.90964,0.7967,0.86781,0.69602,0.82554,0.4976,1.03737,0.004654,0.004654,0.004654
56,138038,0.85494,0.67461,1.12436,0.90854,0.79865,0.86808,0.69699,0.82299,0.49588,1.03519,0.004555,0.004555,0.004555
57,139646,0.8525,0.67168,1.1249,0.90765,0.79953,0.86844,0.69791,0.82046,0.49426,1.0333,0.004456,0.004456,0.004456
58,142246,0.8484,0.66702,1.12273,0.91076,0.79851,0.86867,0.6991,0.81819,0.49279,1.03166,0.004357,0.004357,0.004357
59,146439,0.84703,0.65989,1.11836,0.91022,0.79989,0.86898,0.69989,0.81583,0.49133,1.02975,0.004258,0.004258,0.004258
60,148857,0.8397,0.6516,1.11394,0.91161,0.80048,0.86931,0.70105,0.81356,0.48979,1.02803,0.004159,0.004159,0.004159
61,151642,0.83798,0.64857,1.11344,0.90989,0.8024,0.86977,0.70217,0.81111,0.48817,1.02611,0.00406,0.00406,0.00406
62,152296,0.83208,0.64476,1.10649,0.91122,0.80203,0.87006,0.70324,0.80867,0.48654,1.02379,0.003961,0.003961,0.003961
63,152972,0.82799,0.63897,1.10427,0.91008,0.80341,0.87031,0.70439,0.80612,0.48516,1.02142,0.003862,0.003862,0.003862
64,158790,0.82487,0.63482,1.10451,0.91001,0.80454,0.87081,0.70564,0.80362,0.48367,1.01922,0.003763,0.003763,0.003763
65,162920,0.81853,0.62715,1.09844,0.91293,0.80421,0.87126,0.70683,0.80134,0.48221,1.0169,0.003664,0.003664,0.003664
66,165398,0.81413,0.62436,1.09693,0.91266,0.80528,0.87155,0.70789,0.79922,0.48098,1.015,0.003565,0.003565,0.003565
67,168973,0.81252,0.62163,1.09325,0.9117,0.80643,0.87193,0.70864,0.79684,0.47955,1.01274,0.003466,0.003466,0.003466
68,171433,0.80697,0.61591,1.09282,0.91239,0.80668,0.8721,0.70984,0.79466,0.47822,1.01092,0.003367,0.003367,0.003367
69,172042,0.80752,0.61361,1.08886,0.91161,0.80807,0.87259,0.71075,0.79246,0.47694,1.00891,0.003268,0.003268,0.003268
70,175668,0.80164,0.6058,1.08355,0.9115,0.80878,0.8729,0.71159,0.79025,0.47545,1.00656,0.003169,0.003169,0.003169
71,178214,0.78964,0.59452,1.08469,0.91321,0.80837,0.87306,0.7125,0.78802,0.47424,1.00488,0.00307,0.00307,0.00307
72,179157,0.78974,0.59196,1.08134,0.9136,0.80885,0.87329,0.71343,0.78585,0.47306,1.00298,0.002971,0.002971,0.002971
73,181799,0.78674,0.59084,1.0797,0.9151,0.80849,0.87352,0.71461,0.78389,0.47193,1.00115,0.002872,0.002872,0.002872
74,186239,0.78673,0.58791,1.07641,0.91457,0.80988,0.87384,0.71562,0.78174,0.47073,0.99917,0.002773,0.002773,0.002773
75,190471,0.78218,0.58275,1.0733,0.91436,0.81009,0.87413,0.71653,0.77955,0.46966,0.99708,0.002674,0.002674,0.002674
76,191127,0.77497,0.57708,1.07119,0.914,0.81147,0.8744,0.7175,0.77736,0.46852,0.99517,0.002575,0.002575,0.002575
77,192768,0.77089,0.57173,1.07068,0.91506,0.81134,0.87455,0.71838,0.77519,0.46751,0.99352,0.002476,0.002476,0.002476
78,194703,0.76531,0.56889,1.0679,0.91543,0.81176,0.87485,0.7194,0.77301,0.46642,0.99172,0.002377,0.002377,0.002377
79,195876,0.75927,0.55991,1.06372,0.91604,0.81196,0.87491,0.72011,0.77083,0.46542,0.98999,0.002278,0.002278,0.002278
80,196527,0.75976,0.56159,1.0662,0.91636,0.81198,0.87518,0.7211,0.76886,0.46464,0.98862,0.002179,0.002179,0.002179
81,200805,0.75198,0.55523,1.06391,0.91704,0.8123,0.87555,0.72198,0.76686,0.46386,0.98722,0.00208,0.00208,0.00208
82,201459,0.75068,0.55026,1.06024,0.91641,0.81337,0.87563,0.72275,0.76478,0.46316,0.98559,0.001981,0.001981,0.001981
83,202112,0.74138,0.54395,1.05612,0.91717,0.81325,0.8758,0.72352,0.76308,0.46241,0.98419,0.001882,0.001882,0.001882
84,205264,0.74413,0.54022,1.0552,0.91875,0.81291,0.8759,0.72435,0.76118,0.46163,0.98263,0.001783,0.001783,0.001783
85,207022,0.73478,0.53213,1.05204,0.91783,0.81373,0.87614,0.72506,0.75928,0.46096,0.98128,0.001684,0.001684,0.001684
86,210270,0.73496,0.53152,1.04816,0.91913,0.81439,0.87648,0.72593,0.75739,0.46019,0.97979,0.001585,0.001585,0.001585
87,210915,0.72953,0.52404,1.04383,0.91974,0.81485,0.87666,0.72689,0.7557,0.45926,0.97826,0.001486,0.001486,0.001486
88,211580,0.72246,0.52082,1.0407,0.92082,0.81471,0.87682,0.72779,0.75379,0.45847,0.97645,0.001387,0.001387,0.001387
89,214774,0.71748,0.51562,1.04137,0.91746,0.81628,0.87689,0.72846,0.75192,0.45786,0.97497,0.001288,0.001288,0.001288
90,215428,0.71584,0.51004,1.03936,0.91755,0.81632,0.87714,0.72935,0.75025,0.45714,0.97357,0.001189,0.001189,0.001189
91,218368,0.69709,0.43613,1.02373,0.91813,0.81647,0.87717,0.72995,0.74868,0.45672,0.97243,0.00109,0.00109,0.00109
92,222419,0.68758,0.42572,1.01541,0.91978,0.81591,0.87736,0.73069,0.74696,0.45626,0.97101,0.000991,0.000991,0.000991
93,225250,0.67989,0.4188,1.01209,0.91828,0.81751,0.87737,0.73137,0.74532,0.45577,0.9697,0.000892,0.000892,0.000892
94,227171,0.67395,0.41386,1.00517,0.91945,0.81721,0.87726,0.73205,0.74359,0.45526,0.96801,0.000793,0.000793,0.000793
95,230149,0.66508,0.40608,1.00149,0.91881,0.81811,0.87726,0.73248,0.74215,0.4548,0.96671,0.000694,0.000694,0.000694
96,232910,0.6603,0.40357,1.00228,0.92139,0.81717,0.87743,0.73309,0.74072,0.45448,0.96581,0.000595,0.000595,0.000595
97,237511,0.65253,0.39807,0.99998,0.92137,0.81767,0.8776,0.73369,0.73942,0.45398,0.96512,0.000496,0.000496,0.000496
98,240836,0.64988,0.39426,0.99944,0.92151,0.81774,0.87787,0.73431,0.73808,0.45371,0.96443,0.000397,0.000397,0.000397
99,242273,0.64411,0.39082,0.99712,0.92144,0.81802,0.87794,0.73471,0.73684,0.45352,0.9639,0.000298,0.000298,0.000298
100,245756,0.63702,0.38374,0.99117,0.92239,0.81815,0.87812,0.73544,0.73574,0.45335,0.96328,0.000199,0.000199,0.000199
