                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3048,                 2.5635,                 1.4241,                 0.5649,                0.30961,                0.30651,                0.19408,                 1.2743,                  1.586,                 1.3349,              0.0033318,              0.0033318,              0.0033318
                      2,                 1.2487,                  1.832,                 1.3552,                 0.6135,                0.30559,                0.32541,                0.20878,                  1.283,                  1.504,                 1.3544,              0.0064452,              0.0064452,              0.0064452
                      3,                 1.3041,                 1.8798,                 1.3906,                 0.6718,                0.26677,                0.28692,                 0.1773,                 1.3506,                 1.6661,                 1.4162,              0.0093385,              0.0093385,              0.0093385
                      4,                 1.3265,                 1.8874,                 1.4079,                0.69676,                0.30237,                0.33699,                0.21323,                 1.2895,                 1.4547,                 1.3746,                0.00901,                0.00901,                0.00901
                      5,                 1.2857,                 1.7187,                 1.3858,                0.60289,                0.35897,                0.37926,                0.24637,                 1.2403,                 1.2694,                 1.3255,                0.00868,                0.00868,                0.00868
                      6,                 1.2536,                 1.5928,                 1.3658,                0.60172,                0.38866,                0.41575,                0.27168,                 1.2176,                  1.142,                 1.3071,                0.00835,                0.00835,                0.00835
                      7,                 1.2306,                 1.4966,                 1.3505,                0.71107,                0.38587,                0.43554,                0.29002,                 1.1865,                 1.0756,                 1.2867,                0.00802,                0.00802,                0.00802
                      8,                 1.2106,                 1.4208,                 1.3317,                0.72439,                0.42409,                0.45991,                0.30836,                 1.1659,                 1.0032,                 1.2614,                0.00769,                0.00769,                0.00769
                      9,                 1.1966,                 1.3634,                 1.3189,                0.71091,                0.42682,                0.47205,                0.31901,                 1.1424,                0.95032,                 1.2515,                0.00736,                0.00736,                0.00736
                     10,                 1.1766,                 1.2961,                 1.3054,                0.69695,                0.44996,                0.48977,                0.33368,                 1.1254,                0.90841,                 1.2296,                0.00703,                0.00703,                0.00703
                     11,                 1.1622,                 1.2595,                 1.2986,                0.66736,                0.44997,                0.49451,                0.34109,                  1.106,                0.87845,                  1.222,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.1492,                 1.2156,                  1.289,                0.70248,                 0.4515,                0.50332,                0.34944,                 1.0868,                0.84724,                 1.2088,                0.00637,                0.00637,                0.00637
                     13,                 1.1318,                 1.1785,                  1.278,                0.69481,                0.46588,                 0.5104,                0.35711,                 1.0723,                0.81661,                  1.184,                0.00604,                0.00604,                0.00604
                     14,                 1.1216,                 1.1492,                 1.2686,                0.70573,                0.47273,                0.51862,                0.36467,                 1.0564,                0.79524,                 1.1736,                0.00571,                0.00571,                0.00571
                     15,                 1.1098,                 1.1108,                 1.2587,                0.68088,                 0.4794,                0.52612,                0.37217,                 1.0418,                  0.774,                 1.1669,                0.00538,                0.00538,                0.00538
                     16,                 1.0953,                 1.0803,                 1.2486,                0.65156,                0.48743,                0.52851,                0.37835,                 1.0294,                0.75657,                 1.1486,                0.00505,                0.00505,                0.00505
                     17,                 1.0827,                 1.0554,                 1.2391,                 0.7037,                0.48858,                0.53341,                0.38333,                 1.0181,                0.73443,                 1.1415,                0.00472,                0.00472,                0.00472
                     18,                  1.064,                 1.0172,                 1.2335,                 0.6645,                 0.4935,                0.53684,                0.38799,                  1.006,                0.72157,                 1.1382,                0.00439,                0.00439,                0.00439
                     19,                 1.0518,                0.99417,                 1.2212,                0.66195,                0.50054,                0.54014,                0.39199,                0.99454,                0.71079,                 1.1266,                0.00406,                0.00406,                0.00406
                     20,                 1.0386,                0.96382,                 1.2129,                0.66543,                0.49976,                0.54439,                0.39694,                0.98209,                0.69926,                 1.1163,                0.00373,                0.00373,                0.00373
                     21,                 1.0551,                0.90441,                 1.2241,                 0.6659,                0.50852,                0.54761,                0.40063,                0.97155,                   0.69,                 1.1072,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.0366,                0.87023,                 1.2076,                0.63897,                0.50867,                0.55107,                0.40534,                0.96204,                0.67906,                 1.0962,                0.00307,                0.00307,                0.00307
                     23,                 1.0176,                 0.8371,                 1.1992,                0.64476,                0.51314,                0.55201,                0.40738,                0.95324,                0.67175,                 1.0892,                0.00274,                0.00274,                0.00274
                     24,                 1.0003,                0.80789,                 1.1828,                0.63537,                0.51675,                0.55427,                0.41056,                0.94439,                0.66454,                 1.0821,                0.00241,                0.00241,                0.00241
                     25,                0.98509,                0.77932,                 1.1732,                0.64515,                0.51866,                0.55585,                0.41298,                0.93705,                0.65784,                 1.0755,                0.00208,                0.00208,                0.00208
                     26,                0.96531,                0.75028,                 1.1608,                0.65032,                0.51869,                0.55665,                0.41496,                0.93129,                0.65273,                 1.0698,                0.00175,                0.00175,                0.00175
                     27,                0.94942,                0.72545,                 1.1483,                0.64773,                0.51667,                0.55733,                0.41652,                0.92636,                0.64878,                 1.0648,                0.00142,                0.00142,                0.00142
                     28,                0.93491,                0.70476,                 1.1404,                0.63847,                0.52525,                0.55793,                 0.4178,                0.92167,                0.64519,                 1.0612,                0.00109,                0.00109,                0.00109
                     29,                0.91877,                0.67869,                  1.132,                0.62976,                0.52726,                0.55853,                0.41879,                0.91802,                0.64239,                 1.0584,                0.00076,                0.00076,                0.00076
                     30,                0.90548,                 0.6631,                  1.123,                0.63325,                0.52835,                0.55908,                0.41973,                0.91501,                0.64037,                 1.0559,                0.00043,                0.00043,                0.00043
